ID_LIEU,CODE_POSTAL,VILLE,DEPARTEMENT,REGION,PAYS,LATITUDE,LONGITUDE
109,1230,Oncieu,Aveyron,Occitanie,France,45.96494573033709,5.4746008988764
110,1230,Torcieu,Aveyron,Occitanie,France,45.92410528846156,5.40514884615385
111,1230,Conand,Aveyron,Occitanie,France,45.89000897810217,5.4713902919708
112,1230,Cleyzieu,Aveyron,Occitanie,France,45.90238454545455,5.43272848484849
113,1230,Nivollet-Montgriffon,Aveyron,Occitanie,France,46.00106355072464,5.45968847826087
114,1240,Certines,Aveyron,Occitanie,France,46.13265499999999,5.26542378378379
115,1240,Lent,Aveyron,Occitanie,France,46.11625324675324,5.19869121212122
116,1240,La Chapelle-du-Châtelard,Aveyron,Occitanie,France,46.07192394636017,5.02385352490421
117,1240,Marlieux,Aveyron,Occitanie,France,46.05259191860466,5.07092965116279
118,1240,Dompierre-sur-Veyle,Aveyron,Occitanie,France,46.06563677248678,5.21518756613756
119,1240,Saint-André-le-Bouchoux,Aveyron,Occitanie,France,46.11387000000001,5.08010153225806
120,1240,Saint-Germain-sur-Renon,Aveyron,Occitanie,France,46.07776645348836,5.05607988372093
121,1240,Saint-Paul-de-Varax,Aveyron,Occitanie,France,46.09453255319146,5.13234314893617
122,1250,Saint-Just,Aveyron,Occitanie,France,46.19257817307693,5.28545384615385
123,1250,Hautecourt-Romanèche,Aveyron,Occitanie,France,46.16252535947712,5.42673124183006
124,1250,Grand-Corent,Aveyron,Occitanie,France,46.21523415730336,5.43879876404494
125,1250,Tossiat,Aveyron,Occitanie,France,46.13756670731706,5.30131914634146
126,1250,Villereversure,Aveyron,Occitanie,France,46.18968768595042,5.39254181818182
127,1250,Montagnat,Aveyron,Occitanie,France,46.17031072727274,5.27866884848485
128,1250,Nivigne et Suran,Aveyron,Occitanie,France,46.28725032258066,5.42911649193548
129,1250,Corveissiat,Aveyron,Occitanie,France,46.25472306976744,5.46885939534884
130,1250,Revonnas,Aveyron,Occitanie,France,46.1633790909091,5.3356696969697
131,1250,Ceyzériat,Aveyron,Occitanie,France,46.18357863999999,5.31511215999999
132,1250,Jasseron,Aveyron,Occitanie,France,46.21828453551914,5.31430852459016
133,1250,Pouillat,Aveyron,Occitanie,France,46.32487872549019,5.42527882352941
134,1250,Cize,Aveyron,Occitanie,France,46.19854051724138,5.45121465517241
135,1250,Simandre-sur-Suran,Aveyron,Occitanie,France,46.23527455284553,5.42719089430894
136,1250,Drom,Aveyron,Occitanie,France,46.22362682692308,5.36996903846154
137,1250,Ramasse,Aveyron,Occitanie,France,46.1911961111111,5.35745355555556
138,1250,Bohas-Meyriat-Rignat,Aveyron,Occitanie,France,46.14256082926828,5.37840707317073
139,1250,Journans,Aveyron,Occitanie,France,46.14725153846154,5.33655846153846
140,1260,Lochieu,Aveyron,Occitanie,France,45.92883947761195,5.73513985074627
141,1260,Champagne-en-Valromey,Aveyron,Occitanie,France,45.93160637209301,5.69347074418605
142,1260,Ruffieu,Aveyron,Occitanie,France,46.00338177777778,5.66442166666667
143,1260,Sutrieu,Aveyron,Occitanie,France,45.92185180645163,5.65339387096774
144,1260,Brénaz,Aveyron,Occitanie,France,45.9507006,5.7319224
145,1260,Vieu,Aveyron,Occitanie,France,45.88903752,5.69148184
146,1260,Belmont-Luthézieu,Aveyron,Occitanie,France,45.89224689024389,5.65704481707317
147,1260,Lompnieu,Aveyron,Occitanie,France,45.97232478260869,5.66843869565217
148,1260,Virieu-le-Petit,Aveyron,Occitanie,France,45.90568599078339,5.73318032258064
149,1260,Haut Valromey,Aveyron,Occitanie,France,46.03629094707519,5.67748
150,1270,Salavre,Aveyron,Occitanie,France,46.36444401273886,5.34444095541402
151,1270,Coligny,Aveyron,Occitanie,France,46.38459690196076,5.32658937254902
152,1270,Verjon,Aveyron,Occitanie,France,46.34375157480314,5.34730133858268
153,1270,Domsure,Aveyron,Occitanie,France,46.42420143312104,5.29311321656051
154,1270,Pirajoux,Aveyron,Occitanie,France,46.38780884868422,5.27293345394737
155,1270,Villemotier,Aveyron,Occitanie,France,46.34603809688581,5.31020761245674
156,1270,Beaupont,Aveyron,Occitanie,France,46.42501007874015,5.26294404199475
