,code,libelle,codePostal,codeDepartement
5880,22060,GAUSSON,22150,22
5881,36106,LUZERET,36800,36
5882,05121,ROCHEBRUNE,05190,05
5883,62386,GRENAY,62160,62
5884,43122,LISSAC,43350,43
5885,86072,CHENEVELLES,86450,86
5886,19254,SEGUR LE CHATEAU,19230,19
5887,41159,NEUNG SUR BEUVRON,41210,41
5888,33135,COURPIAC,33760,33
5889,57737,VULMONT,57420,57
5890,42269,ST PAUL D UZORE,42600,42
5891,03207,PIERREFITTE SUR LOIRE,03470,03
5892,32002,ANSAN,32270,32
5893,16175,VAL DES VIGNES,16250,16
5894,80116,BOUCHOIR,80910,80
5895,27313,LA HARENGERE,27370,27
5896,62904,ZOUAFQUES,62890,62
5897,16078,CHAMPNIERS,16430,16
5898,58028,BEAUMONT SARDOLLES,58270,58
5899,60637,THURY EN VALOIS,60890,60
5900,27455,PIENCOURT,27230,27
5901,58020,AVRIL SUR LOIRE,58300,58
5902,77093,LA CHAPELLE MOUTILS,77320,77
5903,92078,VILLENEUVE LA GARENNE,92390,92
5904,57509,NITTING,57790,57
5905,72045,BRAINS SUR GEE,72550,72
5906,09313,TOURTOUSE,09230,09
5907,86006,ANTIGNY,86310,86
5908,28410,VILLAMPUY,28200,28
5909,72080,CHERRE AU,72400,72
5910,53263,THUBOEUF,53110,53
5911,32191,LANNE SOUBIRAN,32110,32
5912,65279,LORTET,65250,65
5913,11289,PIEUSSE,11300,11
5914,86173,MOUTERRE SILLY,86200,86
5915,67492,TRAENHEIM,67310,67
5916,33552,VIRELADE,33720,33
5917,38440,ST PIERRE DE BRESSIEUX,38870,38
5918,32043,BELMONT,32190,32
5919,24405,ST FELIX DE VILLADEIX,24510,24
5920,66157,RAILLEU,66360,66
5921,47318,VIANNE,47230,47
5922,57637,SCHNECKENBUSCH,57400,57
5923,16269,PRANZAC,16110,16
5924,90003,ANJOUTEY,90170,90
5925,48157,STE HELENE,48190,48
5926,72109,CRISSE,72140,72
5927,51551,SOMSOIS,51290,51
5928,01372,ST MARTIN DE BAVEL,01510,01
5929,22380,TREVRON,22100,22
5930,09170,LISSAC,09700,09
5931,44015,BLAIN,44130,44
5932,2A191,OLMICCIA,20112,2A
5933,21050,BAUBIGNY,21340,21
5934,73090,LA COMPOTE,73630,73
5935,77283,MAY EN MULTIEN,77145,77
5936,77183,LA FERTE SOUS JOUARRE,77260,77
5937,12165,MURET LE CHATEAU,12330,12
5938,25306,L HOPITAL ST LIEFFROY,25340,25
5939,67125,EPFIG,67680,67
5940,73011,ALBERTVILLE,73200,73
5941,11111,CRUSCADES,11200,11
5942,50454,ST CHRISTOPHE DU FOC,50340,50
5943,50130,CHERENCE LE HERON,50800,50
5944,78618,TILLY,78790,78
5945,25540,SEMONDANS,25750,25
5946,51158,VAL DES MARAIS,51130,51
5947,24212,ISSIGEAC,24560,24
5948,82168,ST NAZAIRE DE VALENTANE,82190,82
5949,31151,CORRONSAC,31450,31
5950,76302,GODERVILLE,76110,76
5951,65081,BENQUE MOLERE,65130,65
5952,01049,LA BOISSE,01120,01
5953,57526,ORMERSVILLER,57720,57
5954,77363,LE PIN,77181,77
5955,89475,VILLON,89740,89
5956,24335,PORT STE FOY ET PONCHAPT,33220,24
